Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,av,awards,Player,PlayerID
2011,23,NYG,NFL,LB,16,2,0,0,0,0,4,0,0,3,0,0,1.0,78,58,20,2,1,0,3,,Jacquian Williams,WillJa02
2012,24,NYG,NFL,LB,10,3,0,0,0,0,2,0,0,0,0,0,1.0,30,21,9,1,1,0,2,,Jacquian Williams,WillJa02
2013,25,NYG,NFL,LLB,16,8,0,0,0,0,8,0,0,2,5,0,0.0,58,39,19,5,1,0,5,,Jacquian Williams,WillJa02
2014,26,NYG,NFL,RLB,9,9,0,0,0,0,3,0,0,0,0,0,0.0,76,55,21,1,1,0,4,,Jacquian Williams,WillJa02
