Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2018,23,BAL,TE,89,16,3,414,35%,0,0%,81,18%,Mark Andrews,AndrMa00
2020,25,BAL,TE,89,14,2,597,65%,0,0%,6,2%,Mark Andrews,AndrMa00
2023,28,BAL,TE,89,10,9,467,70%,0,0%,4,1%,Mark Andrews,AndrMa00
2024,29,BAL,TE,89,17,13,682,61%,0,0%,6,1%,Mark Andrews,AndrMa00
2025,30,BAL,TE,89,17,11,631,62%,0,0%,0,0%,Mark Andrews,AndrMa00
