Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards,Player,PlayerID
2018,23,BAL,TE,16,3,50,34,552,28,359,10.6,193,5.7,10.8,1,34.0,3,6.0,0,124.7,0,0,0,0,,0,,0,,Mark Andrews,AndrMa00
2019,24,BAL,TE,15,4,98,64,852,44,561,8.8,291,4.5,10.6,3,21.3,7,7.1,3,114.0,0,0,0,0,,0,,0,PB,Mark Andrews,AndrMa00
2020,25,BAL,TE,14,2,88,58,701,37,519,8.9,182,3.1,10.2,2,29.0,5,5.7,1,112.0,0,0,0,0,,0,,0,,Mark Andrews,AndrMa00
2021,26,BAL,TE,17,9,153,107,1361,75,903,8.4,458,4.3,10.3,4,26.8,3,2.0,9,92.5,1,0,0,0,0.0,0,0.0,0,"PB,AP-1",Mark Andrews,AndrMa00
2022,27,BAL,TE,15,15,113,73,847,51,604,8.3,243,3.3,9.7,1,73.0,8,7.1,3,90.8,3,8,3,4,1.3,4,1.3,0,PB,Mark Andrews,AndrMa00
2023,28,BAL,TE,10,9,61,45,544,27,327,7.3,217,4.8,7.3,4,11.3,3,4.9,0,133.5,1,0,0,0,0.0,0,0.0,0,,Mark Andrews,AndrMa00
2024,29,BAL,TE,17,13,69,55,673,44,485,8.8,188,3.4,10.5,1,55.0,4,5.8,1,140.9,4,5,7,1,0.3,4,1.0,0,AP CPoY-19,Mark Andrews,AndrMa00
2025,30,BAL,TE,17,11,70,48,422,24,321,6.7,101,2.1,7.4,1,48.0,3,4.3,3,90.3,10,48,7,43,4.3,5,0.5,0,,Mark Andrews,AndrMa00
