Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2018,23,BAL,TE,16,3,50,34,552,16.2,3,28,64.0,74,2.1,34.5,68.0,11.0,0,0,0,0,,,,0.0,0.0,34,16.2,552,3,0,5,,Mark Andrews,AndrMa00
2019,24,BAL,TE,15,4,98,64,852,13.3,10,44,54.1,51,4.3,56.8,65.3,8.7,0,0,0,0,,,,0.0,0.0,64,13.3,852,10,2,11,PB,Mark Andrews,AndrMa00
2020,25,BAL,TE,14,2,88,58,701,12.1,7,37,56.8,39,4.1,50.1,65.9,8.0,0,0,0,0,,,,0.0,0.0,58,12.1,701,7,2,8,,Mark Andrews,AndrMa00
2021,26,BAL,TE,17,9,153,107,1361,12.7,9,75,62.1,43,6.3,80.1,69.9,8.9,1,0,0,0,0.0,,0.0,0.0,0.1,108,12.6,1361,9,1,10,"PB,AP-1",Mark Andrews,AndrMa00
2022,27,BAL,TE,15,15,113,73,847,11.6,5,51,56.6,36,4.9,56.5,64.6,7.5,3,8,0,3,100.0,4,2.7,0.5,0.2,76,11.3,855,5,1,8,PB,Mark Andrews,AndrMa00
2023,28,BAL,TE,10,9,61,45,544,12.1,6,27,62.3,38,4.5,54.4,73.8,8.9,1,0,0,0,0.0,,0.0,0.0,0.1,46,11.8,544,6,1,6,,Mark Andrews,AndrMa00
2024,29,BAL,TE,17,13,69,55,673,12.2,11,44,68.1,67,3.2,39.6,79.7,9.8,4,5,0,7,75.0,2,1.3,0.3,0.2,59,11.5,678,11,0,7,AP CPoY-19,Mark Andrews,AndrMa00
2025,30,BAL,TE,17,11,70,48,422,8.8,5,24,52.9,27,2.8,24.8,68.6,6.0,10,48,1,7,70.0,35,4.8,2.8,0.6,58,8.1,470,6,1,5,,Mark Andrews,AndrMa00
