Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1988,22,BUF,RB,15,15,207,881,2,40,48.3,37,4.3,58.7,13.8,27,18,208,11.6,0,8,55.6,34,1.2,13.9,66.7,7.7,225,4.8,1089,2,9,9,,Thurman Thomas,ThomTh00
1989,23,BUF,RB,16,16,298,1244,6,68,47.7,38,4.2,77.8,18.6,81,60,669,11.2,6,31,63.0,74,3.8,41.8,74.1,8.3,358,5.3,1913,12,7,16,"PB,AP-2",Thurman Thomas,ThomTh00
1990,24,BUF,RB,16,16,271,1297,11,58,51.7,80,4.8,81.1,16.9,74,49,532,10.9,2,26,52.7,63,3.1,33.3,66.2,7.2,320,5.7,1829,13,6,19,"PB,AP-1",Thurman Thomas,ThomTh00
1991,25,BUF,RB,15,15,288,1407,7,62,52.1,33,4.9,93.8,19.2,73,62,631,10.2,5,30,69.9,50,4.1,42.1,84.9,8.6,350,5.8,2038,12,5,20,"PB,AP-1,AP MVP-1,AP OPoY-1",Thurman Thomas,ThomTh00
1992,26,BUF,RB,16,16,312,1487,9,78,51.3,44,4.8,92.9,19.5,87,58,626,10.8,3,35,55.2,43,3.6,39.1,66.7,7.2,370,5.7,2113,12,6,19,"PB,AP-2,AP OPoY-5",Thurman Thomas,ThomTh00
1993,27,BUF,RB,16,16,355,1315,6,70,46.8,27,3.7,82.2,22.2,72,48,387,8.1,0,19,45.8,37,3.0,24.2,66.7,5.4,403,4.2,1702,6,6,12,"PB,AP-2",Thurman Thomas,ThomTh00
1994,28,BUF,RB,15,15,287,1093,7,62,47.4,29,3.8,72.9,19.1,71,50,349,7.0,2,16,43.7,28,3.3,23.3,70.4,4.9,337,4.3,1442,9,1,12,,Thurman Thomas,ThomTh00
1995,29,BUF,RB,14,14,267,1005,6,63,46.4,49,3.8,71.8,19.1,41,26,220,8.5,2,9,43.9,60,1.9,15.7,63.4,5.4,293,4.2,1225,8,6,8,,Thurman Thomas,ThomTh00
1996,30,BUF,RB,15,15,281,1033,8,66,46.6,36,3.7,68.9,18.7,42,26,254,9.8,0,9,38.1,69,1.7,16.9,61.9,6.0,307,4.2,1287,8,1,7,,Thurman Thomas,ThomTh00
1997,31,BUF,RB,16,16,154,643,1,33,41.6,24,4.2,40.2,9.6,42,30,208,6.9,0,8,45.2,30,1.9,13.0,71.4,5.0,184,4.6,851,1,2,5,,Thurman Thomas,ThomTh00
1998,32,BUF,RB,14,3,93,381,2,15,39.8,17,4.1,27.2,6.6,32,26,220,8.5,1,10,53.1,26,1.9,15.7,81.3,6.9,119,5.1,601,3,0,6,,Thurman Thomas,ThomTh00
1999,33,BUF,RB,5,3,36,152,0,10,52.8,31,4.2,30.4,7.2,5,3,37,12.3,1,2,40.0,23,0.6,7.4,60.0,7.4,39,4.8,189,1,0,1,,Thurman Thomas,ThomTh00
2000,34,MIA,RB,9,0,28,136,0,7,35.7,25,4.9,15.1,3.1,24,16,117,7.3,1,6,37.5,15,1.8,13.0,66.7,4.9,44,5.8,253,1,1,2,,Thurman Thomas,ThomTh00
