Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,27,OAK,QB,16,16,24,47,5,34,1.4,13,0.5,0,,1,1,-9,0,0,0.0,-9,-9.0,0.0,0,0,0.0,0,79.2,,Derek Carr,CarrDe02
2019,28,OAK,QB,16,16,27,82,7,81,3.0,1,0.0,0,,0,0,0,0,0,,0,,,0,0,,0,,,Derek Carr,CarrDe02
2020,29,LVR,QB,16,16,39,140,16,130,3.3,10,0.3,1,39.0,0,0,0,0,0,,0,,,0,0,,0,,,Derek Carr,CarrDe02
2021,30,LVR,QB,17,17,40,108,10,100,2.5,8,0.2,0,,0,0,0,0,0,,0,,,0,0,,0,,,Derek Carr,CarrDe02
2022,31,LVR,QB,15,15,24,102,10,90,3.8,12,0.5,0,,0,0,0,0,0,,0,,,0,0,,0,,PB,Derek Carr,CarrDe02
2023,32,NOR,QB,17,17,32,40,4,34,1.1,6,0.2,0,,0,0,0,0,0,,0,,,0,0,,0,,,Derek Carr,CarrDe02
2024,33,NOR,QB,10,10,17,71,4,66,3.9,5,0.3,0,,0,0,0,0,0,,0,,,0,0,,0,,,Derek Carr,CarrDe02
