Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2021,23,GNB,QB,6,1,12,27,1,24,2.0,3,0.3,0,,0,0,0,0,0,0,0,0,0,,Jordan Love,LoveJo03
2022,24,GNB,QB,4,0,1,-1,0,-1,-1.0,0,0.0,0,,0,0,0,0,0,0,0,0,0,,Jordan Love,LoveJo03
2023,25,GNB,QB,17,17,50,247,16,219,4.4,28,0.6,2,25.0,0,0,0,0,0,0,0,0,0,,Jordan Love,LoveJo03
2024,26,GNB,QB,15,15,25,83,9,48,1.9,35,1.4,0,,0,0,0,0,0,0,0,0,0,,Jordan Love,LoveJo03
2025,27,GNB,QB,14,14,45,192,13,141,3.1,51,1.1,2,22.5,0,0,0,0,0,0,0,0,0,,Jordan Love,LoveJo03
