Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2024,22,NWE,QB,13,12,0,0,0,0,0,0,9,4,-26,0,0.0,0,0,0,0,0,0,"PB,AP ORoY-8",Drake Maye,MayeDr00
2025,23,NWE,QB,14,14,0,0,0,0,0,0,6,4,0,0,0.0,0,0,0,0,0,0,,Drake Maye,MayeDr00
