Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2018,33,ATL,QB,16,16,422,608,5210,8.6,2791,6.6,4.6,2133,5.1,0,18,1,36,6.1,79,13.4,,,2.3,201,53,48,143,21.4,18,6.7,,,,,,,,,,Matt Ryan,RyanMa00
2019,34,ATL,QB,15,15,408,616,5009,8.1,2816,6.9,4.6,1650,4.0,19,27,1,17,2.9,86,14.6,443,75.3,2.5,199,54,62,164,23.9,21,7.1,31,253,31,253,0,0,108,827,,Matt Ryan,RyanMa00
2020,35,ATL,QB,16,16,407,626,5337,8.5,2939,7.2,4.7,1642,4.0,6,18,1,33,5.4,89,14.7,458,75.5,2.6,204,55,70,166,24.3,16,6.5,18,166,16,166,0,0,152,1432,,Matt Ryan,RyanMa00
2021,36,ATL,QB,17,17,375,560,3987,7.1,2244,6.0,4.0,1724,4.6,9,15,1,21,3.9,79,14.5,425,78.1,2.4,166,48,84,172,27.9,16,4.9,28,219,22,214,1,5,131,1099,,Matt Ryan,RyanMa00
2022,37,IND,QB,12,12,309,461,2763,6.0,1643,5.3,3.6,1414,4.6,12,17,1,19,4.3,60,13.5,340,76.7,2.3,145,33,51,122,24.0,10,8.0,33,212,30,212,0,0,80,494,,Matt Ryan,RyanMa00
