Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,33,ATL,QB,16,16,33,125,15,113,3.4,12,0.4,3,11.0,1,1,5,1,1,1.0,4,4.0,1.0,0,0,0.0,0,127.1,,Matt Ryan,RyanMa00
2019,34,ATL,QB,15,15,34,147,10,133,3.9,14,0.4,0,,0,0,0,0,0,,0,,,0,0,,0,,,Matt Ryan,RyanMa00
2020,35,ATL,QB,16,16,29,92,8,83,2.9,9,0.3,0,,0,0,0,0,0,,0,,,0,0,,0,,,Matt Ryan,RyanMa00
2021,36,ATL,QB,17,17,40,82,9,67,1.7,15,0.4,0,,0,0,0,0,0,,0,,,0,0,,0,,,Matt Ryan,RyanMa00
2022,37,IND,QB,12,12,27,70,9,59,2.2,11,0.4,0,,0,0,0,0,0,,0,,,0,0,,0,,,Matt Ryan,RyanMa00
