Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2024,23,HOU,QB,7,17,17,1035,94%,0,0%,0,0%,C.J. Stroud,StroCJ00
2025,24,HOU,QB,7,11,11,694,92%,0,0%,0,0%,C.J. Stroud,StroCJ00
