Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2023,22,HOU,QB,15,15,126,119,130,123,98,106,130,99,121,"PB,AP MVP-8,AP ORoY-1",C.J. Stroud,StroCJ00
2024,23,HOU,QB,17,17,99,92,97,93,93,93,100,86,95,,C.J. Stroud,StroCJ00
2025,24,HOU,QB,14,14,102,105,103,105,99,99,105,112,102,,C.J. Stroud,StroCJ00
