Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards,Player,PlayerID
2018,22,SEA,TE,4,4,14,8,156,5,63,7.9,93,11.6,10.1,2,4.0,0,0.0,0,135.7,0,0,0,0,,0,,0,,Will Dissly,DissWi00
2019,23,SEA,TE,6,6,27,23,262,14,192,8.3,70,3.0,9.5,0,,0,0.0,0,146.7,1,7,0,5,5.0,2,2.0,0,,Will Dissly,DissWi00
2020,24,SEA,TE,16,12,29,24,251,12,82,3.4,169,7.0,4.8,0,,1,3.4,1,111.4,0,0,0,0,,0,,0,,Will Dissly,DissWi00
2021,25,SEA,TE,15,14,26,21,231,11,88,4.2,143,6.8,4.3,2,10.5,3,11.5,0,116.5,0,0,0,0,,0,,0,,Will Dissly,DissWi00
2022,26,SEA,TE,15,15,38,34,349,20,165,4.9,184,5.4,5.4,2,17.0,2,5.3,0,131.2,0,0,0,0,,0,,0,,Will Dissly,DissWi00
2023,27,SEA,TE,16,14,22,17,172,8,52,3.1,120,7.1,2.8,3,5.7,1,4.5,0,114.2,0,0,0,0,,0,,0,,Will Dissly,DissWi00
2024,28,LAC,TE,15,8,64,50,481,24,178,3.6,303,6.1,4.6,4,12.5,4,6.3,0,108.4,0,0,0,0,,0,,0,,Will Dissly,DissWi00
2025,29,LAC,TE,9,2,16,11,97,5,31,2.8,66,6.0,4.5,0,,1,6.3,0,84.6,0,0,0,0,,0,,0,,Will Dissly,DissWi00
