Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2021,22,JAX,QB,17,17,0,0,0,0,0,0,9,2,0,0,0.0,2,2,0,0,0,0,,Trevor Lawrence,LawrTr00
2022,23,JAX,QB,17,17,0,0,0,0,0,0,12,0,-16,0,0.0,2,2,0,0,0,0,"PB,AP MVP-7,AP CPoY-12",Trevor Lawrence,LawrTr00
2023,24,JAX,QB,16,16,0,0,0,0,0,0,12,3,-10,0,0.0,0,0,0,0,0,0,,Trevor Lawrence,LawrTr00
2024,25,JAX,QB,10,10,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Trevor Lawrence,LawrTr00
2025,26,JAX,QB,14,14,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,,Trevor Lawrence,LawrTr00
