Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2021,22,JAX,QB,17,17,77,82,75,79,78,75,89,108,73,,Trevor Lawrence,LawrTr00
2022,23,JAX,QB,17,17,99,106,106,110,108,100,120,114,108,"PB,AP MVP-7,AP CPoY-12",Trevor Lawrence,LawrTr00
2023,24,JAX,QB,16,16,102,105,99,101,106,95,96,107,99,,Trevor Lawrence,LawrTr00
2024,25,JAX,QB,10,10,103,104,99,100,83,95,96,107,92,,Trevor Lawrence,LawrTr00
2025,26,JAX,QB,17,17,102,102,103,103,85,107,100,100,99,"AP MVP-5,AP CPoY-4",Trevor Lawrence,LawrTr00
