Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,awards,Player,PlayerID
2022,23,JAX,NFL,RB,17,12,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,,Travis Etienne,EtieTr00
2024,25,JAX,NFL,RB,15,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,Travis Etienne,EtieTr00
2025,26,JAX,NFL,RB,17,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Travis Etienne,EtieTr00
