Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2024,23,CHI,QB,17,17,81,489,0,27,51.9,24,6.0,28.8,4.8,0,0,0,,0,0,,,0.0,0.0,,,81,6.0,489,0,10,AP ORoY-10,Caleb Williams,WillCa03
2025,24,CHI,QB,14,14,68,334,3,25,57.4,29,4.9,23.9,4.9,2,2,22,11.0,1,2,100.0,20,0.1,1.6,100.0,11.0,70,5.1,356,4,7,,Caleb Williams,WillCa03
