Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2024,23,CHI,QB,17,17,81,489,27,385,4.8,104,1.3,5,16.2,0,0,0,0,0,,0,,,0,0,,0,,AP ORoY-10,Caleb Williams,WillCa03
2025,24,CHI,QB,14,14,68,334,25,279,4.1,55,0.8,5,13.6,2,2,22,2,-3,-1.5,25,12.5,-1.5,0,0,0.0,0,152.1,,Caleb Williams,WillCa03
