Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2023,24,BUF,TE,16,11,91,73,673,9.2,2,32,61.5,51,4.6,42.1,80.2,7.4,0,0,0,0,0.0,0.0,73,9.2,673,2,1,7,,Dalton Kincaid,KincDa00
2024,25,BUF,TE,13,9,75,44,448,10.2,2,25,53.3,29,3.4,34.5,58.7,6.0,0,0,0,0,0.0,0.0,44,10.2,448,2,1,5,,Dalton Kincaid,KincDa00
2025,26,BUF,TE,12,4,49,39,571,14.6,5,27,67.3,47,3.3,47.6,79.6,11.7,0,0,0,0,0.0,0.0,39,14.6,571,5,1,6,PB,Dalton Kincaid,KincDa00
