Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2023,24,BUF,TE,86,16,11,699,63%,0,0%,1,0%,Dalton Kincaid,KincDa00
2024,25,BUF,TE,86,13,9,471,57%,0,0%,3,1%,Dalton Kincaid,KincDa00
