Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,21,BAL,QB,16,7,147,695,45,499,3.4,196,1.3,3,49.0,2,0,0,0,0,0,-1.0,0,0,0.0,0,39.6,,Lamar Jackson,JackLa00
2019,22,BAL,QB,15,15,176,1206,71,867,4.9,339,1.9,3,58.7,0,0,0,0,0,0,,0,0,,0,,"PB,AP-1,AP MVP-1,AP OPoY-2",Lamar Jackson,JackLa00
2020,23,BAL,QB,15,15,159,1005,56,800,5.0,205,1.3,8,19.9,0,0,0,0,0,0,,0,0,,0,,,Lamar Jackson,JackLa00
2021,24,BAL,QB,12,12,133,767,48,485,3.6,282,2.1,11,12.1,0,0,0,0,0,0,,0,0,,0,,PB,Lamar Jackson,JackLa00
2022,25,BAL,QB,12,12,112,764,47,542,4.8,222,2.0,14,8.0,0,0,0,0,0,0,,0,0,,0,,,Lamar Jackson,JackLa00
2023,26,BAL,QB,16,16,148,821,50,592,4.0,229,1.5,14,10.6,0,0,0,1,0,0,,0,0,,0,,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9",Lamar Jackson,JackLa00
2024,27,BAL,QB,17,17,139,915,55,666,4.8,249,1.8,7,19.9,0,0,0,0,0,0,,0,0,,0,,"PB,AP-1,AP MVP-2,AP OPoY-2",Lamar Jackson,JackLa00
2025,28,BAL,QB,13,13,67,349,24,257,3.8,92,1.4,7,9.6,0,0,0,0,0,0,,0,0,,0,,,Lamar Jackson,JackLa00
