Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
1999,23,PHI,QB,12,6,0,0,0,0,0,0,8,0,-3,0,0.0,,,,,,0,,Donovan McNabb,McNaDo00
2000,24,PHI,QB,16,16,0,0,0,0,0,0,7,2,-5,0,0.0,0,0,0,0,,0,"PB,AP MVP-2,AP OPoY-4",Donovan McNabb,McNaDo00
2001,25,PHI,QB,16,16,0,0,0,0,0,0,8,3,-7,0,0.0,0,0,0,0,,0,PB,Donovan McNabb,McNaDo00
2002,26,PHI,QB,10,10,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,,0,PB,Donovan McNabb,McNaDo00
2003,27,PHI,QB,16,16,0,0,0,0,0,0,9,2,-6,0,0.0,0,0,0,0,,0,PB,Donovan McNabb,McNaDo00
2004,28,PHI,QB,15,15,0,0,0,0,0,0,8,1,-6,0,0.0,0,0,0,0,,0,PB,Donovan McNabb,McNaDo00
2005,29,PHI,QB,9,9,0,0,0,0,0,0,8,3,-18,0,0.0,0,0,0,0,,0,,Donovan McNabb,McNaDo00
2006,30,PHI,QB,10,10,0,0,0,0,0,0,3,1,-3,0,0.0,0,0,0,0,0,0,,Donovan McNabb,McNaDo00
2007,31,PHI,QB,14,14,0,0,0,0,0,0,9,0,-5,0,0.0,0,0,0,0,0,0,,Donovan McNabb,McNaDo00
2008,32,PHI,QB,16,16,0,0,0,0,0,0,7,0,-10,0,0.0,0,0,0,0,0,0,,Donovan McNabb,McNaDo00
2009,33,PHI,QB,14,14,0,0,0,0,0,0,10,3,-12,0,0.0,0,0,0,0,0,0,PB,Donovan McNabb,McNaDo00
2010,34,WAS,QB,13,13,0,0,0,0,0,0,10,8,-27,0,0.0,0,0,0,0,0,0,,Donovan McNabb,McNaDo00
2011,35,MIN,QB,6,6,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,Donovan McNabb,McNaDo00
