Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2024,24,DEN,QB,17,17,92,430,41,359,3.9,71,0.8,3,30.7,1,1,2,1,2,2.0,0,0.0,2.0,0,0,0.0,0,118.7,AP ORoY-3,Bo Nix,NixxBo00
2025,25,DEN,QB,14,14,62,254,17,205,3.3,49,0.8,0,,1,0,0,0,0,,0,,2.0,0,0,0.0,0,39.6,,Bo Nix,NixxBo00
