Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2024,24,DEN,QB,17,17,92,430,4,41,53.3,32,4.7,25.3,5.4,1,1,2,2.0,1,1,100.0,2,0.1,0.1,100.0,2.0,93,4.6,432,5,3,AP ORoY-3,Bo Nix,NixxBo00
2025,25,DEN,QB,14,14,62,254,4,17,41.9,25,4.1,18.1,4.4,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,62,4.1,254,4,3,,Bo Nix,NixxBo00
