Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2024,24,DEN,QB,17,17,91,99,97,102,106,110,103,121,104,AP ORoY-3,Bo Nix,NixxBo00
2025,25,DEN,QB,17,17,86,97,91,99,95,94,106,124,94,,Bo Nix,NixxBo00
