Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2019,22,NYG,QB,13,12,45,279,2,21,66.7,26,6.2,21.5,3.5,0,0,0,,0,0,,,0.0,0.0,,,45,6.2,279,2,19,,Daniel Jones,JoneDa05
2020,23,NYG,QB,14,14,65,423,1,17,44.6,80,6.5,30.2,4.6,0,0,0,,0,0,,,0.0,0.0,,,65,6.5,423,1,10,,Daniel Jones,JoneDa05
2021,24,NYG,QB,11,11,62,298,2,16,48.4,46,4.8,27.1,5.6,1,1,16,16.0,0,1,100.0,16,0.1,1.5,100.0,16.0,63,5.0,314,2,7,,Daniel Jones,JoneDa05
2022,25,NYG,QB,16,16,120,708,7,57,59.2,25,5.9,44.3,7.5,0,0,0,,0,0,,,0.0,0.0,,,120,5.9,708,7,6,AP CPoY-11,Daniel Jones,JoneDa05
2023,26,NYG,QB,6,6,40,206,1,15,52.5,17,5.2,34.3,6.7,0,0,0,,0,0,,,0.0,0.0,,,40,5.2,206,1,4,,Daniel Jones,JoneDa05
2024,27,NYG,QB,10,10,67,265,2,26,59.7,24,4.0,26.5,6.7,0,0,0,,0,0,,,0.0,0.0,,,67,4.0,265,2,4,,Daniel Jones,JoneDa05
2025,28,IND,QB,13,13,45,164,5,19,53.3,19,3.6,12.6,3.5,0,0,0,,0,0,,,0.0,0.0,,,45,3.6,164,5,9,,Daniel Jones,JoneDa05
