Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2019,22,NYG,QB,13,12,45,279,21,236,5.2,43,1.0,2,22.5,0,0,0,0,0,,0,,,0,0,,0,,,Daniel Jones,JoneDa05
2020,23,NYG,QB,14,14,65,423,17,375,5.8,48,0.7,1,65.0,0,0,0,0,0,,0,,,0,0,,0,,,Daniel Jones,JoneDa05
2021,24,NYG,QB,11,11,62,298,16,256,4.1,42,0.7,1,62.0,1,1,16,1,13,13.0,3,3.0,13.0,0,0,0.0,0,118.7,,Daniel Jones,JoneDa05
2022,25,NYG,QB,16,16,120,708,64,562,4.7,146,1.2,2,60.0,0,0,0,0,0,,0,,,0,0,,0,,AP CPoY-11,Daniel Jones,JoneDa05
2023,26,NYG,QB,6,6,40,206,15,177,4.4,29,0.7,0,,0,0,0,0,0,,0,,,0,0,,0,,,Daniel Jones,JoneDa05
2024,27,NYG,QB,10,10,67,265,26,186,2.8,79,1.2,5,13.4,0,0,0,0,0,,0,,,0,0,,0,,,Daniel Jones,JoneDa05
2025,28,IND,QB,13,13,45,164,19,137,3.0,27,0.6,1,45.0,0,0,0,0,0,,0,,,0,0,,0,,,Daniel Jones,JoneDa05
