Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2019,22,NYG,QB,8,13,12,816,93%,0,0%,0,0%,Daniel Jones,JoneDa05
2020,23,NYG,QB,8,14,14,868,96%,0,0%,0,0%,Daniel Jones,JoneDa05
2021,24,NYG,QB,8,11,11,673,95%,0,0%,0,0%,Daniel Jones,JoneDa05
2022,25,NYG,QB,8,16,16,1040,97%,0,0%,0,0%,Daniel Jones,JoneDa05
2023,26,NYG,QB,8,6,6,325,82%,0,0%,0,0%,Daniel Jones,JoneDa05
2024,27,NYG,QB,8,10,10,677,98%,0,0%,0,0%,Daniel Jones,JoneDa05
2025,28,IND,QB,17,13,13,756,91%,0,0%,0,0%,Daniel Jones,JoneDa05
