Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Player,PlayerID
2019,22,MIA,10,9,6-3-0,186,290,64.1,1814,11,3.8,5,1.7,100,47.7,35,6.3,6.24,9.8,181.4,87.1,44.8,20,136,6.45,5.41,5.4,2,2,5.0,,Tua Tagovailoa,TagoTu00
2020,23,MIA,13,12,7-5-0,263,388,67.8,2653,16,4.1,10,2.6,137,50.2,65,6.8,6.5,10.1,204.1,90.1,55.7,20,152,4.9,6.13,5.81,0,2,7.0,,Tua Tagovailoa,TagoTu00
2021,24,MIA,13,13,8-5-0,259,400,64.8,3548,25,6.3,8,2.0,162,49.9,84,8.9,9.22,13.7,272.9,105.5,70.6,21,163,4.99,8.04,8.37,2,2,12.0,AP MVP-9,Tua Tagovailoa,TagoTu00
2022,25,MIA,17,17,11-6-0,388,560,69.3,4624,29,5.2,14,2.5,222,50.8,78,8.3,8.17,11.9,272.0,101.1,61.5,29,171,4.92,7.56,7.48,2,2,16.0,"PB,AP CPoY-5",Tua Tagovailoa,TagoTu00
2023,26,MIA,11,11,6-5-0,291,399,72.9,2867,19,4.8,7,1.8,161,51.9,80,7.2,7.35,9.9,260.6,101.4,57.1,21,154,5.0,6.46,6.61,2,2,9.0,,Tua Tagovailoa,TagoTu00
2024,27,MIA,13,13,6-7-0,238,356,66.9,2407,18,5.1,14,3.9,127,45.0,47,6.8,6.0,10.1,185.2,86.4,38.4,26,164,6.81,5.87,5.16,1,1,,,Tua Tagovailoa,TagoTu00
