Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Player,PlayerID
2016,22,KAN,1,1,1-0-0,22,35,62.9,284,0,0.0,1,2.9,15,51.4,51,8.1,6.83,12.9,284.0,76.4,66.8,2,15,5.41,7.27,6.05,0,1,1.0,,Patrick Mahomes,MahoPa00
2017,23,KAN,16,16,12-4-0,383,580,66.0,5097,50,8.6,12,2.1,237,54.1,89,8.8,9.58,13.3,318.6,113.8,80.3,26,171,4.29,8.13,8.89,2,2,22.0,"PB,AP-1,AP MVP-1,AP OPoY-1",Patrick Mahomes,MahoPa00
2018,24,KAN,14,14,11-3-0,319,484,65.9,4031,26,5.4,5,1.0,176,50.9,83,8.3,8.94,12.6,287.9,105.3,77.7,17,127,3.39,7.79,8.38,1,1,17.0,"PB,AP OPoY-4",Patrick Mahomes,MahoPa00
2019,25,KAN,15,15,14-1-0,390,588,66.3,4740,38,6.5,6,1.0,238,54.1,75,8.1,8.89,12.2,316.0,108.2,78.1,22,147,3.61,7.53,8.33,3,3,17.0,"PB,AP-2,AP MVP-3,AP OPoY-2",Patrick Mahomes,MahoPa00
2020,26,KAN,17,17,12-5-0,436,658,66.3,4839,37,5.6,13,2.0,260,53.2,75,7.4,7.59,11.1,284.6,98.5,67.7,28,146,4.08,6.84,7.07,3,3,18.0,PB,Patrick Mahomes,MahoPa00
2021,27,KAN,17,17,14-3-0,435,648,67.1,5250,41,6.3,12,1.9,272,54.6,67,8.1,8.53,12.1,308.8,105.2,79.0,26,188,3.86,7.51,7.93,4,4,19.0,"PB,AP-1,AP MVP-1,AP OPoY-2",Patrick Mahomes,MahoPa00
2022,28,KAN,16,16,10-6-0,401,597,67.2,4183,27,4.5,14,2.3,206,48.2,67,7.0,6.86,10.4,261.4,92.6,63.9,27,186,4.33,6.41,6.26,1,2,15.0,"PB,AP MVP-7",Patrick Mahomes,MahoPa00
2023,29,KAN,16,16,15-1-0,392,581,67.5,3928,26,4.5,11,1.9,214,50.7,54,6.8,6.8,10.0,245.5,93.5,64.6,36,239,5.83,5.98,6.02,5,7,14.0,"AP MVP-6,AP OPoY-17",Patrick Mahomes,MahoPa00
2024,30,KAN,13,13,6-7-0,299,474,63.1,3398,22,4.6,10,2.1,165,47.9,61,7.2,7.15,11.4,261.4,91.2,69.5,29,172,5.77,6.41,6.39,1,1,,,Patrick Mahomes,MahoPa00
