Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2015,29,SEA,RB,24,7,6,308,67%,0,0%,0,0%,Marshawn Lynch,LyncMa00
2017,31,OAK,RB,24,15,15,461,49%,0,0%,0,0%,Marshawn Lynch,LyncMa00
2018,32,OAK,RB,24,6,6,209,50%,0,0%,0,0%,Marshawn Lynch,LyncMa00
2019,33,SEA,RB,24,1,0,23,31%,0,0%,0,0%,Marshawn Lynch,LyncMa00
