Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
1999,22,NOR,RB,12,12,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,,0,,Ricky Williams,WillRi00
2000,23,NOR,RB,10,10,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,,0,,Ricky Williams,WillRi00
2001,24,NOR,RB,16,16,0,0,0,0,0,0,8,2,4,0,0.0,0,0,0,0,,0,,Ricky Williams,WillRi00
2002,25,MIA,RB,16,16,0,0,0,0,0,0,7,1,0,0,0.0,0,0,0,0,,0,"PB,AP-1,AP OPoY-4",Ricky Williams,WillRi00
2003,26,MIA,RB,16,16,0,0,0,0,0,0,7,1,0,0,0.0,0,0,0,0,,0,,Ricky Williams,WillRi00
2005,28,MIA,RB,12,3,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,,0,AP CPoY-5,Ricky Williams,WillRi00
2007,30,MIA,RB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,,0,,Ricky Williams,WillRi00
2008,31,MIA,RB,16,3,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,,Ricky Williams,WillRi00
2009,32,MIA,RB,16,7,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,,Ricky Williams,WillRi00
2010,33,MIA,RB,16,0,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,,Ricky Williams,WillRi00
2011,34,BAL,RB,16,0,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,,,0,,Ricky Williams,WillRi00
