Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2011,22,BAL,QB,3,0,,1,1,100.0,18,0,0.0,0,0.0,0,,18,18.0,18.00,18.0,6.0,118.7,13.2,2,3,66.67,5.00,5.00,0,0,0,,Tyrod Taylor,TaylTy00
2012,23,BAL,QB,7,0,,17,29,58.6,179,0,0.0,1,3.4,8,40.6,25,6.2,4.62,10.5,25.6,62.3,52.3,3,30,9.38,4.66,3.25,0,0,1,,Tyrod Taylor,TaylTy00
2013,24,BAL,QB,3,0,,1,5,20.0,2,0,0.0,1,20.0,0,,2,0.4,-8.60,2.0,0.7,0.0,70.8,0,0,0.00,0.40,-8.60,0,0,0,,Tyrod Taylor,TaylTy00
2014,25,BAL,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,1.7,0,0,,,,0,0,0,,Tyrod Taylor,TaylTy00
2015,26,BUF,QB,14,14,7-6-0,242,380,63.7,3035,20,5.3,6,1.6,129,42.8,63,8.0,8.33,12.5,216.8,99.4,66.3,36,212,8.65,6.79,7.10,1,2,14,PB,Tyrod Taylor,TaylTy00
2016,27,BUF,QB,15,15,7-8-0,269,436,61.7,3023,17,3.9,6,1.4,148,43.1,84,6.9,7.09,11.2,201.5,89.7,62.4,42,192,8.79,5.92,6.07,1,1,15,,Tyrod Taylor,TaylTy00
2017,28,BUF,QB,15,14,8-6-0,263,420,62.6,2799,14,3.3,4,1.0,133,42.5,47,6.7,6.90,10.6,186.6,89.2,56.2,46,256,9.87,5.46,5.67,1,2,12,,Tyrod Taylor,TaylTy00
2018,29,CLE,QB,4,3,1-1-1,42,85,49.4,473,2,2.4,2,2.4,17,28.6,47,5.6,4.98,11.3,118.3,64.5,27.0,13,81,13.27,4.00,3.49,1,0,2,,Tyrod Taylor,TaylTy00
2019,30,LAC,QB,8,0,,4,6,66.7,33,1,16.7,0,0.0,3,50.0,14,5.5,8.83,8.3,4.1,120.1,3.3,0,0,0.00,5.50,8.83,0,0,0,,Tyrod Taylor,TaylTy00
2020,31,LAC,QB,2,1,1-0-0,16,30,53.3,208,0,0.0,0,0.0,10,37.5,37,6.9,6.93,13.0,104.0,75.4,16.6,2,1,6.25,6.47,6.47,1,1,1,,Tyrod Taylor,TaylTy00
2021,32,HOU,QB,6,6,2-4-0,91,150,60.7,966,5,3.3,5,3.3,44,44.8,52,6.4,5.61,10.6,161.0,76.7,46.4,13,119,7.98,5.20,4.43,0,0,2,,Tyrod Taylor,TaylTy00
2022,33,NYG,QB,3,0,,6,8,75.0,58,1,12.5,1,12.5,3,45.5,19,7.3,4.13,9.7,19.3,94.8,11.6,3,18,27.27,3.64,1.36,0,0,1,,Tyrod Taylor,TaylTy00
2023,34,NYG,QB,11,5,2-3-0,116,180,64.4,1341,5,2.8,3,1.7,52,43.7,80,7.5,7.26,11.6,121.9,89.1,48.6,17,94,8.63,6.33,6.15,0,0,5,,Tyrod Taylor,TaylTy00
2024,35,NYJ,QB,2,0,,17,22,77.3,119,3,13.6,0,0.0,9,63.6,20,5.4,8.14,7.0,59.5,128.6,95.0,0,0,0.00,5.41,8.14,0,0,0,,Tyrod Taylor,TaylTy00
2025,36,NYJ,QB,6,4,1-3-0,80,134,59.7,779,5,3.7,5,3.7,41,41.9,52,5.8,4.88,9.7,129.8,72.9,50.9,14,82,9.46,4.71,3.86,1,1,3,,Tyrod Taylor,TaylTy00
