Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2004,21,STL,RB,14,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,,Steven Jackson,JackSt00
2005,22,STL,RB,15,15,0,0,0,0,0,0,3,1,-7,0,0.0,0,0,0,0,,0,,Steven Jackson,JackSt00
2006,23,STL,RB,16,16,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP OPoY-4",Steven Jackson,JackSt00
2007,24,STL,RB,12,12,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,,Steven Jackson,JackSt00
2008,25,STL,RB,12,11,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,,Steven Jackson,JackSt00
2009,26,STL,RB,15,15,0,0,0,0,0,0,2,1,-2,0,0.0,0,0,0,0,0,0,"PB,AP-2",Steven Jackson,JackSt00
2010,27,STL,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,PB,Steven Jackson,JackSt00
2011,28,STL,RB,15,15,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,,Steven Jackson,JackSt00
