Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,30,DET,QB,16,16,25,71,8,69,2.8,2,0.1,0,,0,0,0,0,0,0,,0,0,,0,,,Matthew Stafford,StafMa00
2019,31,DET,QB,8,8,20,66,5,54,2.7,12,0.6,1,20.0,0,0,0,0,0,0,,0,0,,0,,,Matthew Stafford,StafMa00
2020,32,DET,QB,16,16,29,112,12,107,3.7,5,0.2,0,,1,0,0,0,0,0,15.0,0,0,0.0,0,39.6,,Matthew Stafford,StafMa00
2021,33,LAR,QB,17,17,32,43,13,36,1.1,7,0.2,0,,0,0,0,0,0,0,,0,0,,0,,,Matthew Stafford,StafMa00
2022,34,LAR,QB,9,9,13,9,3,3,0.2,6,0.5,1,13.0,0,0,0,0,0,0,,0,0,,0,,,Matthew Stafford,StafMa00
2023,35,LAR,QB,15,15,21,65,4,61,2.9,4,0.2,0,,0,0,0,0,0,0,,0,0,,0,,"PB,AP MVP-8,AP CPoY-4",Matthew Stafford,StafMa00
2024,36,LAR,QB,16,16,30,41,10,36,1.2,5,0.2,0,,0,0,0,0,0,0,,0,0,,0,,,Matthew Stafford,StafMa00
2025,37,LAR,QB,17,17,29,1,0,-1,0.0,2,0.1,0,,0,0,0,0,0,0,,0,0,,0,,"PB,AP-1,AP MVP-1",Matthew Stafford,StafMa00
