Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2018,30,DET,QB,16,16,367,555,3840,6.9,1759,4.8,3.2,2018,5.5,0,15,1,29,5.4,94,17.4,,,2.3,165,56,34,130,21.4,12,6.5,,,,,,,,,,Matthew Stafford,StafMa00
2019,31,DET,QB,8,8,187,291,3097,10.6,1609,8.6,5.5,890,4.8,5,5,2,9,3.2,59,20.8,201,70.8,2.4,87,23,20,61,19.1,10,5.6,14,90,8,52,5,38,69,672,,Matthew Stafford,StafMa00
2020,32,DET,QB,16,16,339,528,4609,8.7,2343,6.9,4.4,1741,5.1,7,7,7,33,6.4,94,18.3,399,77.6,2.4,179,45,39,122,21.0,16,7.3,27,273,27,273,0,0,105,959,,Matthew Stafford,StafMa00
2021,33,LAR,QB,17,17,404,601,5092,8.5,2760,6.8,4.6,2126,5.3,9,3,0,31,5.2,111,18.6,458,76.6,2.5,137,32,42,104,16.3,8,6.1,25,233,25,233,0,0,122,1247,,Matthew Stafford,StafMa00
2022,34,LAR,QB,9,9,206,303,2018,6.7,959,4.7,3.2,1128,5.5,3,6,1,11,3.7,54,18.2,224,75.7,2.3,77,23,27,79,23.4,5,3.0,14,146,14,146,0,0,68,614,,Matthew Stafford,StafMa00
2023,35,LAR,QB,15,15,326,521,4033,7.7,2075,6.4,4.0,1890,5.8,8,22,3,33,6.7,94,19.0,372,75.0,2.5,172,27,43,100,17.7,13,5.5,20,157,19,157,0,0,97,1013,"PB,AP MVP-8,AP CPoY-4",Matthew Stafford,StafMa00
2024,36,LAR,QB,16,16,340,517,3696,7.1,2036,6.0,3.9,1726,5.1,15,15,1,15,3.0,88,17.6,372,74.3,2.4,144,31,63,122,22.3,3,12.7,19,154,19,154,0,0,151,1397,,Matthew Stafford,StafMa00
2025,37,LAR,QB,14,14,312,470,4183,8.9,2289,7.3,4.9,1433,4.6,4,8,2,16,3.5,85,18.5,338,73.5,2.4,135,29,44,92,18.7,4,3.3,15,102,15,102,0,0,165,1410,,Matthew Stafford,StafMa00
