Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2009,21,DET,QB,10,10,20,108,2,7,40.0,21,5.4,10.8,2.0,0,0,0,,0,0,,,0.0,0.0,,,20,5.4,108,2,4,,Matthew Stafford,StafMa00
2010,22,DET,QB,3,3,4,11,1,1,50.0,9,2.8,3.7,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,2.8,11,1,2,,Matthew Stafford,StafMa00
2011,23,DET,QB,16,16,22,78,0,7,31.8,22,3.5,4.9,1.4,0,0,0,,0,0,,,0.0,0.0,,,22,3.5,78,0,5,AP CPoY-1,Matthew Stafford,StafMa00
2012,24,DET,QB,16,16,35,126,4,12,51.4,11,3.6,7.9,2.2,1,1,3,3.0,0,0,0.0,3,0.1,0.2,100.0,3.0,36,3.6,129,4,6,,Matthew Stafford,StafMa00
2013,25,DET,QB,16,16,37,69,2,13,40.5,14,1.9,4.3,2.3,0,0,0,,0,0,,,0.0,0.0,,,37,1.9,69,2,12,,Matthew Stafford,StafMa00
2014,26,DET,QB,16,16,43,93,2,11,27.9,18,2.2,5.8,2.7,0,0,0,,0,0,,,0.0,0.0,,,43,2.2,93,2,8,PB,Matthew Stafford,StafMa00
2015,27,DET,QB,16,16,44,159,1,13,36.4,18,3.6,9.9,2.8,1,1,-6,-6.0,0,0,0.0,-6,0.1,-0.4,100.0,-6.0,45,3.4,153,1,4,,Matthew Stafford,StafMa00
2016,28,DET,QB,16,16,37,207,2,16,54.1,24,5.6,12.9,2.3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,37,5.6,207,2,3,,Matthew Stafford,StafMa00
2017,29,DET,QB,16,16,29,98,0,9,34.5,15,3.4,6.1,1.8,0,0,0,,0,0,,,0.0,0.0,,,29,3.4,98,0,12,,Matthew Stafford,StafMa00
2018,30,DET,QB,16,16,25,71,0,8,44.0,10,2.8,4.4,1.6,0,0,0,,0,0,,,0.0,0.0,,,25,2.8,71,0,6,,Matthew Stafford,StafMa00
2019,31,DET,QB,8,8,20,66,0,5,40.0,12,3.3,8.3,2.5,0,0,0,,0,0,,,0.0,0.0,,,20,3.3,66,0,5,,Matthew Stafford,StafMa00
2020,32,DET,QB,16,16,29,112,0,12,51.7,17,3.9,7.0,1.8,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,29,3.9,112,0,2,,Matthew Stafford,StafMa00
2021,33,LAR,QB,17,17,32,43,0,13,31.3,12,1.3,2.5,1.9,0,0,0,,0,0,,,0.0,0.0,,,32,1.3,43,0,5,,Matthew Stafford,StafMa00
2022,34,LAR,QB,9,9,13,9,1,3,38.5,4,0.7,1.0,1.4,0,0,0,,0,0,,,0.0,0.0,,,13,0.7,9,1,5,,Matthew Stafford,StafMa00
2023,35,LAR,QB,15,15,21,65,0,4,33.3,9,3.1,4.3,1.4,0,0,0,,0,0,,,0.0,0.0,,,21,3.1,65,0,0,"PB,AP MVP-8,AP CPoY-4",Matthew Stafford,StafMa00
2024,36,LAR,QB,16,16,30,41,0,10,36.7,15,1.4,2.6,1.9,0,0,0,,0,0,,,0.0,0.0,,,30,1.4,41,0,6,,Matthew Stafford,StafMa00
2025,37,LAR,QB,17,17,29,1,0,0,3.4,6,0.0,0.1,1.7,0,0,0,,0,0,,,0.0,0.0,,,29,0.0,1,0,7,"PB,AP-1,AP MVP-1",Matthew Stafford,StafMa00
