Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,25,DAL,QB,16,16,75,305,25,186,2.5,119,1.6,2,37.5,1,0,0,0,0,,0,,11.0,0,0,0.0,0,39.6,PB,Dak Prescott,PresDa01
2019,26,DAL,QB,16,16,52,277,19,178,3.4,99,1.9,7,7.4,0,0,0,0,0,,0,,,0,0,,0,,,Dak Prescott,PresDa01
2020,27,DAL,QB,5,5,18,93,8,65,3.6,28,1.6,2,9.0,1,1,11,1,10,10.0,1,1.0,10.0,0,0,0.0,0,152.1,,Dak Prescott,PresDa01
2021,28,DAL,QB,16,16,48,146,7,121,2.5,25,0.5,0,,0,0,0,0,0,,0,,,0,0,,0,,AP CPoY-2,Dak Prescott,PresDa01
2022,29,DAL,QB,12,12,45,182,19,132,2.9,50,1.1,1,45.0,0,0,0,0,0,,0,,,0,0,,0,,,Dak Prescott,PresDa01
2023,30,DAL,QB,17,17,55,242,21,171,3.1,71,1.3,1,55.0,0,0,0,0,0,,0,,,0,0,,0,,"PB,AP-2,AP MVP-2,AP OPoY-5",Dak Prescott,PresDa01
2024,31,DAL,QB,8,8,13,54,5,48,3.7,6,0.5,0,,0,0,0,0,0,,0,,,0,0,,0,,,Dak Prescott,PresDa01
2025,32,DAL,QB,14,14,45,140,11,119,2.6,21,0.5,3,15.0,0,0,0,0,0,,0,,,0,0,,0,,,Dak Prescott,PresDa01
