Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2018,37,LAC,QB,16,16,18,7,1,1,0.1,6,0.3,0,0,0,0,0,0,0,0,0,0,PB,Philip Rivers,RivePh00
2019,38,LAC,QB,16,16,12,29,2,29,2.4,0,0.0,0,0,0,0,0,0,0,0,0,0,,Philip Rivers,RivePh00
2020,39,IND,QB,16,16,18,-8,0,-10,-0.6,2,0.1,0,0,0,0,0,0,0,0,0,0,,Philip Rivers,RivePh00
2025,44,IND,QB,3,3,2,-1,0,-1,-0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,,Philip Rivers,RivePh00
