Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,31,BUF,RB,22,10,8,331,53%,0,0%,1,0%,Fred Jackson,JackFr02
2013,32,BUF,RB,22,16,6,663,57%,0,0%,0,0%,Fred Jackson,JackFr02
2014,33,BUF,RB,22,14,9,548,58%,0,0%,22,5%,Fred Jackson,JackFr02
2015,34,SEA,RB,22,16,0,257,24%,0,0%,0,0%,Fred Jackson,JackFr02
