Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards,Player,PlayerID
2018,25,SFO,TE,16,16,136,88,1377,60,507,5.8,870,9.9,7.1,9,9.8,5,3.7,3,101.3,1,10,1,10,10.0,0,0.0,0,"PB,AP-2",George Kittle,KittGe00
2019,26,SFO,TE,14,14,107,85,1053,53,451,5.3,602,7.1,5.9,8,10.6,2,1.9,1,119.4,5,22,1,14,2.8,8,1.6,0,"PB,AP-1",George Kittle,KittGe00
2020,27,SFO,TE,8,8,63,48,634,32,337,7.0,297,6.2,7.3,1,48.0,5,7.9,2,104.9,2,17,1,4,2.0,13,6.5,0,,George Kittle,KittGe00
2021,28,SFO,TE,14,14,94,71,910,49,460,6.5,450,6.3,8.3,8,8.9,2,2.1,6,100.0,3,20,0,11,3.7,9,3.0,0,PB,George Kittle,KittGe00
2022,29,SFO,TE,15,15,86,60,765,37,383,6.4,382,6.4,6.5,4,15.0,3,3.5,2,127.2,0,0,0,0,,0,,0,"PB,AP-2",George Kittle,KittGe00
2023,30,SFO,TE,16,16,90,65,1020,43,537,8.3,483,7.4,9.5,5,13.0,4,4.4,2,122.5,1,2,1,1,1.0,1,1.0,0,"PB,AP-1",George Kittle,KittGe00
2024,31,SFO,TE,15,15,94,78,1106,50,584,7.5,522,6.7,8.1,4,19.5,2,2.1,2,135.2,0,0,0,0,,0,,0,"PB,AP-2,AP OPoY-11",George Kittle,KittGe00
2025,32,SFO,TE,11,11,69,57,628,38,376,6.6,252,4.4,6.7,2,28.5,1,1.4,0,138.4,1,-3,0,-3,-3.0,0,0.0,0,PB,George Kittle,KittGe00
