Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2018,31,CIN,QB,11,11,226,365,2947,8.1,1424,6.3,3.9,1142,5.1,0,9,3,18,5.1,55,15.6,,,2.3,100,54,15,90,22.6,12,8.3,,,,,,,,,,Andy Dalton,DaltAn00
2019,32,CIN,QB,13,13,314,528,3991,7.6,1843,5.9,3.5,1651,5.3,14,17,7,27,5.4,92,18.3,362,71.8,2.3,188,36,24,97,16.9,10,6.0,38,206,33,198,5,8,103,692,,Andy Dalton,DaltAn00
2020,33,DAL,QB,11,9,216,333,2278,6.8,1127,5.2,3.4,1043,4.8,5,14,0,21,6.6,48,15.0,250,78.4,2.3,119,15,25,64,17.2,15,5.7,21,177,17,154,3,23,61,414,,Andy Dalton,DaltAn00
2021,34,CHI,QB,8,6,149,236,1620,6.9,763,5.1,3.2,752,5.0,7,8,1,9,4.0,39,17.2,162,71.4,2.3,92,23,13,54,20.3,12,6.8,14,141,12,138,1,3,30,174,,Andy Dalton,DaltAn00
2022,35,NOR,QB,14,14,252,378,2973,7.9,1543,6.1,4.1,1328,5.3,10,14,0,25,6.9,45,12.4,284,78.0,2.3,99,15,21,61,14.7,11,4.8,9,63,8,60,1,3,61,611,,Andy Dalton,DaltAn00
2023,36,CAR,QB,3,1,34,58,478,8.2,233,6.9,4.0,128,3.8,2,1,0,5,8.8,11,19.3,39,68.4,2.2,14,2,5,10,16.1,1,10.0,2,16,1,15,1,1,3,15,,Andy Dalton,DaltAn00
2024,37,CAR,QB,6,5,106,160,1068,6.7,530,5.0,3.3,459,4.3,5,3,0,9,5.7,21,13.4,117,74.5,2.2,56,10,11,28,16.2,6,6.0,0,0,0,0,0,0,0,0,,Andy Dalton,DaltAn00
2025,38,CAR,QB,4,1,25,37,347,9.4,203,8.1,5.5,90,3.6,0,1,0,3,8.3,5,13.9,29,80.6,2.4,11,1,2,11,23.9,1,1.0,3,17,2,17,0,0,4,23,,Andy Dalton,DaltAn00
