Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,25,CIN,QB,14,16,16,1027,97%,0,0%,0,0%,Andy Dalton,DaltAn00
2013,26,CIN,QB,14,16,16,1117,99%,0,0%,2,0%,Andy Dalton,DaltAn00
2015,28,CIN,QB,14,13,13,797,93%,0,0%,0,0%,Andy Dalton,DaltAn00
2017,30,CIN,QB,14,16,16,936,97%,0,0%,0,0%,Andy Dalton,DaltAn00
2018,31,CIN,QB,14,11,11,627,91%,0,0%,0,0%,Andy Dalton,DaltAn00
2019,32,CIN,QB,14,13,13,908,100%,0,0%,0,0%,Andy Dalton,DaltAn00
2020,33,DAL,QB,14,11,9,621,82%,0,0%,0,0%,Andy Dalton,DaltAn00
2021,34,CHI,QB,14,8,6,412,75%,0,0%,0,0%,Andy Dalton,DaltAn00
2022,35,NOR,QB,14,14,14,736,86%,0,0%,0,0%,Andy Dalton,DaltAn00
2023,36,CAR,QB,14,3,1,81,39%,0,0%,0,0%,Andy Dalton,DaltAn00
2024,37,CAR,QB,14,6,5,306,82%,0,0%,0,0%,Andy Dalton,DaltAn00
2025,38,CAR,QB,14,4,1,97,38%,0,0%,0,0%,Andy Dalton,DaltAn00
