Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2002,23,PHI,RB,15,3,46,193,0,11,47.8,18,4.2,12.9,3.1,13,9,86,9.6,0,4,38.5,20,0.6,5.7,69.2,6.6,55,5.1,279,0,2,2,,Brian Westbrook,WestBr00
2003,24,PHI,RB,15,8,117,613,7,30,43.6,62,5.2,40.9,7.8,48,37,332,9.0,4,17,45.8,38,2.5,22.1,77.1,6.9,154,6.1,945,11,3,11,,Brian Westbrook,WestBr00
2004,25,PHI,RB,13,12,177,812,3,41,41.8,50,4.6,62.5,13.6,87,73,703,9.6,6,30,50.6,50,5.6,54.1,83.9,8.1,250,6.1,1515,9,1,13,PB,Brian Westbrook,WestBr00
2005,26,PHI,RB,12,12,156,617,3,29,37.8,31,4.0,51.4,13.0,96,61,616,10.1,4,27,41.7,62,5.1,51.3,63.5,6.4,217,5.7,1233,7,0,8,,Brian Westbrook,WestBr00
2006,27,PHI,RB,15,14,240,1217,7,60,47.5,71,5.1,81.1,16.0,105,77,699,9.1,4,30,53.3,52,5.1,46.6,73.3,6.7,317,6.0,1916,11,2,15,,Brian Westbrook,WestBr00
2007,28,PHI,RB,15,15,278,1333,7,74,51.1,36,4.8,88.9,18.5,118,90,771,8.6,5,32,50.0,57,6.0,51.4,76.3,6.5,368,5.7,2104,12,2,15,"PB,AP-1",Brian Westbrook,WestBr00
2008,29,PHI,RB,14,14,233,936,9,49,45.9,39,4.0,66.9,16.6,74,54,402,7.4,5,19,44.6,47,3.9,28.7,73.0,5.4,287,4.7,1338,14,2,9,,Brian Westbrook,WestBr00
2009,30,PHI,RB,8,7,61,274,1,12,47.5,25,4.5,34.3,7.6,34,25,181,7.2,1,8,41.2,34,3.1,22.6,73.5,5.3,86,5.3,455,2,0,4,,Brian Westbrook,WestBr00
2010,31,SFO,RB,14,5,77,340,4,16,44.2,30,4.4,24.3,5.5,24,16,150,9.4,1,5,33.3,62,1.1,10.7,66.7,6.3,93,5.3,490,5,0,3,,Brian Westbrook,WestBr00
