Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2017,22,HOU,QB,4,7,6,464,93%,0,0%,0,0%,Deshaun Watson,WatsDe00
2022,27,CLE,QB,4,6,6,387,99%,0,0%,0,0%,Deshaun Watson,WatsDe00
2023,28,CLE,QB,4,6,6,383,84%,0,0%,0,0%,Deshaun Watson,WatsDe00
2024,29,CLE,QB,4,7,7,415,87%,0,0%,0,0%,Deshaun Watson,WatsDe00
