Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2018,23,HOU,QB,16,16,345,505,4270,8.5,2412,7.0,4.8,1753,5.1,0,13,6,17,3.5,84,17.3,,,2.5,163,77,59,198,31.7,58,7.2,,,,,,,,,PB,Deshaun Watson,WatsDe00
2019,24,HOU,QB,15,15,333,495,4396,8.9,2166,6.5,4.4,1686,5.1,6,15,2,21,4.4,80,16.7,367,76.8,2.5,167,47,39,130,22.3,44,7.1,92,637,65,517,25,120,94,813,PB,Deshaun Watson,WatsDe00
2020,25,HOU,QB,16,16,382,544,4840,8.9,2847,7.5,5.2,1976,5.2,5,19,2,19,3.6,79,15.1,420,80.3,2.5,168,75,47,171,26.1,62,6.4,73,598,56,519,13,79,81,834,PB,Deshaun Watson,WatsDe00
2022,27,CLE,QB,6,6,99,170,1217,7.2,558,5.6,3.3,544,5.5,4,12,2,12,7.7,22,14.1,116,74.4,2.9,35,5,12,37,18.1,14,7.1,26,227,19,169,6,58,51,403,,Deshaun Watson,WatsDe00
2023,28,CLE,QB,6,6,105,171,1566,9.2,616,5.9,3.6,499,4.8,4,5,1,12,7.3,34,20.6,118,71.5,2.5,59,13,18,48,23.4,17,6.2,20,115,17,116,1,-1,34,334,,Deshaun Watson,WatsDe00
2024,29,CLE,QB,7,7,137,216,1523,7.1,564,4.1,2.6,584,4.3,5,5,0,20,9.5,34,16.1,166,78.7,2.6,72,16,37,86,31.9,21,6.3,6,17,4,15,1,2,8,50,,Deshaun Watson,WatsDe00
