Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2017,22,HOU,QB,7,6,36,269,2,14,61.1,49,7.5,38.4,5.1,0,0,0,,0,0,,,0.0,0.0,,,36,7.5,269,2,3,AP ORoY-3,Deshaun Watson,WatsDe00
2018,23,HOU,QB,16,16,99,551,5,33,52.5,34,5.6,34.4,6.2,0,0,0,,0,0,,,0.0,0.0,,,99,5.6,551,5,9,PB,Deshaun Watson,WatsDe00
2019,24,HOU,QB,15,15,82,413,7,29,48.8,30,5.0,27.5,5.5,1,1,6,6.0,1,1,100.0,6,0.1,0.4,100.0,6.0,83,5.0,419,8,10,PB,Deshaun Watson,WatsDe00
2020,25,HOU,QB,16,16,90,444,3,31,53.3,16,4.9,27.8,5.6,0,0,0,,0,0,,,0.0,0.0,,,90,4.9,444,3,8,PB,Deshaun Watson,WatsDe00
2022,27,CLE,QB,6,6,36,175,1,10,47.2,21,4.9,29.2,6.0,0,0,0,,0,0,,,0.0,0.0,,,36,4.9,175,1,1,,Deshaun Watson,WatsDe00
2023,28,CLE,QB,6,6,26,142,1,10,61.5,16,5.5,23.7,4.3,0,0,0,,0,0,,,0.0,0.0,,,26,5.5,142,1,5,,Deshaun Watson,WatsDe00
2024,29,CLE,QB,7,7,31,148,1,8,41.9,16,4.8,21.1,4.4,0,0,0,,0,0,,,0.0,0.0,,,31,4.8,148,1,5,,Deshaun Watson,WatsDe00
