Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2017,22,HOU,QB,7,6,124,115,119,114,94,154,74,84,118,AP ORoY-3,Deshaun Watson,WatsDe00
2018,23,HOU,QB,16,16,121,107,119,110,118,107,109,67,117,PB,Deshaun Watson,WatsDe00
2019,24,HOU,QB,15,15,110,105,107,104,111,106,97,87,108,PB,Deshaun Watson,WatsDe00
2020,25,HOU,QB,16,16,134,126,133,126,125,115,119,84,128,PB,Deshaun Watson,WatsDe00
2022,27,CLE,QB,6,6,86,79,85,82,71,98,86,71,82,,Deshaun Watson,WatsDe00
2023,28,CLE,QB,6,6,89,88,92,91,86,100,99,84,92,,Deshaun Watson,WatsDe00
2024,29,CLE,QB,7,7,64,58,74,69,94,76,117,54,83,,Deshaun Watson,WatsDe00
