Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2020,22,DAL,RB,34,15,0,13,1%,0,0%,201,48%,Rico Dowdle,DowdRi01
2022,24,DAL,RB,23,5,0,6,2%,0,0%,93,67%,Rico Dowdle,DowdRi01
2023,25,DAL,RB,23,16,0,247,22%,0,0%,85,20%,Rico Dowdle,DowdRi01
2024,26,DAL,RB,23,16,15,636,57%,0,0%,0,0%,Rico Dowdle,DowdRi01
2025,27,CAR,RB,5,17,11,591,56%,0,0%,32,8%,Rico Dowdle,DowdRi01
