Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2018,24,TAM,QB,11,9,244,378,4079,10.8,2082,8.5,5.5,910,3.7,0,5,1,18,4.8,60,16.1,,,2.4,84,43,29,99,22.4,36,7.1,,,,,,,,,,Jameis Winston,WinsJa00
2019,25,TAM,QB,16,16,380,626,6486,10.4,3249,8.6,5.2,1860,4.9,11,22,2,23,3.8,124,20.6,421,69.9,2.5,241,60,54,161,22.9,31,7.4,9,82,8,80,1,2,93,1133,,Jameis Winston,WinsJa00
2020,26,NOR,QB,4,0,7,11,51,4.6,14,2.0,1.3,61,8.7,0,0,0,0,0.0,3,27.3,7,63.6,2.2,5,1,1,4,28.6,1,3.0,0,0,0,0,0,0,3,31,,Jameis Winston,WinsJa00
2021,27,NOR,QB,7,7,95,161,1340,8.3,589,6.2,3.7,581,6.1,5,9,0,10,6.6,33,21.7,108,71.1,2.6,68,18,18,47,24.9,17,9.5,2,11,1,0,1,11,37,355,,Jameis Winston,WinsJa00
2022,28,NOR,QB,3,3,73,115,1315,11.4,651,8.9,5.7,207,2.8,2,2,1,3,2.7,23,20.5,81,72.3,2.5,41,9,11,31,24.0,3,3.7,2,21,2,21,0,0,11,32,,Jameis Winston,WinsJa00
2023,29,NOR,QB,7,0,25,47,603,12.8,179,7.2,3.8,85,3.4,0,1,0,3,6.5,10,21.7,35,76.1,2.1,19,3,2,7,14.3,0,,1,11,1,11,0,0,1,11,,Jameis Winston,WinsJa00
2024,30,CLE,QB,12,7,181,296,2632,8.9,1356,7.5,4.6,765,4.2,11,4,1,13,4.5,52,17.9,205,70.4,2.4,61,23,24,71,21.6,8,5.8,0,0,0,0,0,0,0,0,,Jameis Winston,WinsJa00
2025,31,NYG,QB,3,2,37,66,619,9.4,357,9.6,5.4,210,5.7,0,4,0,1,1.6,16,25.8,41,66.1,2.5,18,10,9,22,31.4,1,11.0,8,50,6,47,2,3,17,178,,Jameis Winston,WinsJa00
