Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,Sfty,awards,Player,PlayerID
1995,23,DEN,RB,14,14,0,0,0,0,,0,5,1,0,0,0.0,0,0,0,,0,AP ORoY-2,Terrell Davis,DaviTe00
1996,24,DEN,RB,16,16,0,0,0,0,,0,5,2,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-3,AP OPoY-1",Terrell Davis,DaviTe00
1997,25,DEN,RB,15,15,0,0,0,0,,0,4,2,-7,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-3,AP OPoY-2",Terrell Davis,DaviTe00
1998,26,DEN,RB,16,16,0,0,0,0,,0,2,1,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Terrell Davis,DaviTe00
1999,27,DEN,RB,4,4,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,,Terrell Davis,DaviTe00
2000,28,DEN,RB,5,4,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,,Terrell Davis,DaviTe00
2001,29,DEN,RB,8,8,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,,Terrell Davis,DaviTe00
