Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2018,34,WAS,QB,10,10,41,168,15,117,2.9,51,1.2,1,41.0,0,0,0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2020,36,WAS,QB,8,6,10,3,0,3,0.3,0,0.0,0,,0,0,0,0,0,0,0,0,0,AP CPoY-1,Alex Smith,SmitAl03
