Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2005,23,STL,QB,4,3,0,0,0,0,0,0,3,1,-3,0,0.0,0,0,0,0,,0,,Ryan Fitzpatrick,FitzRy00
2008,26,CIN,QB,13,12,0,0,0,0,0,0,11,8,-12,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2009,27,BUF,QB,10,8,0,0,0,0,0,0,3,0,-1,0,0.0,0,0,0,,,0,,Ryan Fitzpatrick,FitzRy00
2010,28,BUF,QB,13,13,0,0,0,0,0,0,8,3,0,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2011,29,BUF,QB,16,16,0,0,0,0,0,0,7,4,0,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2012,30,BUF,QB,16,16,0,0,0,0,0,0,8,2,0,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2013,31,TEN,QB,11,9,0,0,0,0,0,0,9,4,-3,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2014,32,HOU,QB,12,12,0,0,0,0,0,0,5,4,-7,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2015,33,NYJ,QB,16,16,0,0,0,0,0,0,5,2,-32,0,0.0,0,0,0,,,0,,Ryan Fitzpatrick,FitzRy00
2016,34,NYJ,QB,14,11,0,0,0,0,0,0,9,4,-6,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2018,36,TAM,QB,8,7,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2019,37,MIA,QB,15,13,0,0,0,0,0,0,9,5,-8,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2020,38,MIA,QB,9,7,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2021,39,WAS,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Ryan Fitzpatrick,FitzRy00
