Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2018,36,TAM,QB,8,7,164,246,2546,10.3,1492,9.1,6.1,874,5.3,0,6,0,8,3.3,36,15.0,,,2.4,76,24,27,65,23.0,23,6.2,,,,,,,,,,Ryan Fitzpatrick,FitzRy00
2019,37,MIA,QB,15,13,311,502,4467,8.9,2264,7.3,4.5,1265,4.1,15,7,3,28,5.7,87,17.7,358,72.8,2.3,192,48,66,154,26.7,35,7.6,15,75,13,75,0,0,66,564,,Ryan Fitzpatrick,FitzRy00
2020,38,MIA,QB,9,7,183,267,2072,7.8,1236,6.8,4.6,855,4.7,5,2,1,10,3.8,37,14.0,211,79.9,2.2,99,22,31,67,22.6,15,8.0,16,109,14,109,1,0,41,341,,Ryan Fitzpatrick,FitzRy00
2021,39,WAS,QB,1,1,3,6,4,0.7,7,2.3,1.2,6,2.0,0,0,0,1,16.7,1,16.7,5,83.3,1.8,0,1,2,4,50.0,1,2.0,0,0,0,0,0,0,2,2,,Ryan Fitzpatrick,FitzRy00
