Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,awards,Player,PlayerID
2023,22,MIA,NFL,RB,11,4,103,800,30,484,4.7,316,3.1,13,7.9,37,27,197,10,-65,-2.4,262,9.7,0.7,3,9.0,0,0.0,0,112.1,,De'Von Achane,AchaDe00
2024,23,MIA,NFL,RB,17,16,203,907,37,486,2.4,421,2.1,7,29.0,87,78,592,30,-73,-0.9,665,8.5,-0.4,5,15.6,2,2.3,0,118.0,,De'Von Achane,AchaDe00
2025,24,MIA,NFL,RB,14,14,205,1186,50,603,2.9,583,2.8,19,10.8,79,61,450,22,-59,-1.0,509,8.3,0.5,7,8.7,5,6.3,2,96.5,,De'Von Achane,AchaDe00
