Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2023,22,MIA,RB,28,11,4,300,,0,,7,,De'Von Achane,AchaDe00
2024,23,MIA,RB,28,17,16,704,,0,,6,,De'Von Achane,AchaDe00
2025,24,MIA,RB,28,14,14,614,,0,,3,,De'Von Achane,AchaDe00
