Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,awards,Player,PlayerID
2024,22,LVR,NFL,TE,17,16,153,112,1194,61,598,5.3,596,5.3,6.1,6,18.7,6,3.9,5,92.9,5,13,2,-1,-0.2,14,2.8,1,5.0,,Brock Bowers,BoweBr01
2025,23,LVR,NFL,TE,11,7,81,59,647,34,357,6.1,290,4.9,6.7,3,19.7,4,4.9,3,105.3,2,2,0,-1,-0.5,3,1.5,0,,,Brock Bowers,BoweBr01
