Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2019,22,ARI,QB,16,16,93,544,27,445,4.8,99,1.1,4,23.3,0,0,0,0,0,0,0,0,0,AP ORoY-1,Kyler Murray,MurrKy00
2020,23,ARI,QB,16,16,133,819,52,691,5.2,128,1.0,5,26.6,0,0,0,0,0,0,0,0,0,PB,Kyler Murray,MurrKy00
2021,24,ARI,QB,14,14,88,423,25,376,4.3,47,0.5,0,,0,0,7,0,7,0,0,0,0,PB,Kyler Murray,MurrKy00
2022,25,ARI,QB,11,11,67,418,23,395,5.9,23,0.3,2,33.5,0,0,0,0,0,0,0,0,0,,Kyler Murray,MurrKy00
2023,26,ARI,QB,8,8,44,244,15,229,5.2,15,0.3,0,,0,0,0,0,0,0,0,0,0,AP CPoY-9,Kyler Murray,MurrKy00
2024,27,ARI,QB,17,17,78,572,27,468,6.0,104,1.3,2,39.0,0,0,0,0,0,0,0,0,0,AP CPoY-10,Kyler Murray,MurrKy00
2025,28,ARI,QB,5,5,29,173,10,130,4.5,43,1.5,2,14.5,0,0,0,0,0,0,0,0,0,,Kyler Murray,MurrKy00
