Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,27,CHI,RB,22,15,15,693,71%,0,0%,0,0%,Matt Forte,FortMa00
2014,29,CHI,RB,22,16,16,974,92%,0,0%,0,0%,Matt Forte,FortMa00
2015,30,CHI,RB,22,13,13,597,68%,0,0%,0,0%,Matt Forte,FortMa00
2016,31,NYJ,RB,22,14,13,487,53%,0,0%,0,0%,Matt Forte,FortMa00
2017,32,NYJ,RB,22,12,4,361,46%,0,0%,0,0%,Matt Forte,FortMa00
