Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,av,awards,Player,PlayerID
2019,24,CIN,NFL,DB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,,Trayvon Henderson,HendTr01
2020,25,CIN,NFL,DB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,Trayvon Henderson,HendTr01
2021,26,CIN,NFL,DB,2,0,0,0,0,0,0,0,0,1,29,1,0.0,4,2,2,0,0,0,1,,Trayvon Henderson,HendTr01
