Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2020,22,MIA,QB,10,9,36,109,13,80,2.2,29,0.8,0,,0,0,0,0,0,0,0,0,0,,Tua Tagovailoa,TagoTu00
2021,23,MIA,QB,13,12,42,128,13,92,2.2,36,0.9,0,,0,0,0,0,0,0,0,0,0,,Tua Tagovailoa,TagoTu00
2022,24,MIA,QB,13,13,23,70,4,61,2.7,9,0.4,0,,0,0,0,0,0,0,0,0,0,AP MVP-9,Tua Tagovailoa,TagoTu00
2023,25,MIA,QB,17,17,35,74,5,71,2.0,3,0.1,1,35.0,0,0,0,0,0,0,0,0,0,"PB,AP CPoY-5",Tua Tagovailoa,TagoTu00
2024,26,MIA,QB,11,11,17,49,5,49,2.9,0,0.0,0,,0,0,0,0,0,0,0,0,0,,Tua Tagovailoa,TagoTu00
2025,27,MIA,QB,14,14,20,43,1,40,2.0,3,0.2,0,,0,0,0,0,0,0,0,0,0,,Tua Tagovailoa,TagoTu00
