Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2020,22,MIA,QB,10,9,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,Tua Tagovailoa,TagoTu00
2021,23,MIA,QB,13,12,0,0,0,0,0,0,9,2,2,0,0.0,1,0,1,0,0,0,,Tua Tagovailoa,TagoTu00
2022,24,MIA,QB,13,13,0,0,0,0,0,0,6,3,0,0,0.0,0,0,0,0,0,0,AP MVP-9,Tua Tagovailoa,TagoTu00
2023,25,MIA,QB,17,17,0,0,0,0,0,0,13,9,-36,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-5",Tua Tagovailoa,TagoTu00
2024,26,MIA,QB,11,11,0,0,0,0,0,0,7,2,-15,0,0.0,0,0,0,0,0,0,,Tua Tagovailoa,TagoTu00
2025,27,MIA,QB,14,14,0,0,0,0,0,0,8,4,-20,0,0.0,0,0,0,0,0,0,,Tua Tagovailoa,TagoTu00
