Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2020,22,MIA,QB,10,9,186,290,2175,7.5,1048,5.6,3.6,766,4.1,2,5,3,12,4.3,53,18.8,209,74.1,2.3,115,14,14,48,14.7,16,5.8,32,208,28,195,4,13,78,466,,Tua Tagovailoa,TagoTu00
2021,23,MIA,QB,13,12,263,388,2722,7.0,1436,5.5,3.7,1217,4.6,1,6,1,17,4.5,63,16.5,305,80.1,2.2,101,45,24,89,20.9,18,6.9,94,858,90,847,4,11,116,990,,Tua Tagovailoa,TagoTu00
2022,24,MIA,QB,13,13,259,400,3790,9.5,2267,8.8,5.7,1281,4.9,6,13,1,26,6.7,61,15.8,296,76.7,2.3,86,40,25,86,20.0,10,7.6,74,622,71,615,1,7,159,1431,AP MVP-9,Tua Tagovailoa,TagoTu00
2023,25,MIA,QB,17,17,388,560,4290,7.7,2447,6.3,4.4,2177,5.6,9,14,2,24,4.4,78,14.3,430,79.0,2.1,116,39,27,95,15.7,15,5.3,111,1073,105,1069,1,4,126,1145,"PB,AP CPoY-5",Tua Tagovailoa,TagoTu00
2024,26,MIA,QB,11,11,291,399,2281,5.7,1182,4.1,3.0,1685,5.8,6,6,2,14,3.6,45,11.5,318,81.3,2.1,64,26,11,58,13.6,7,8.1,4,29,4,29,0,0,2,16,,Tua Tagovailoa,TagoTu00
2025,27,MIA,QB,14,14,260,384,2577,6.7,1243,4.8,3.2,1417,5.5,5,12,2,17,4.6,59,15.9,285,77.0,2.3,85,48,15,93,21.9,11,4.0,43,220,41,220,0,0,87,663,,Tua Tagovailoa,TagoTu00
