Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2020,22,MIA,QB,10,9,81,83,89,89,98,92,111,98,94,,Tua Tagovailoa,TagoTu00
2021,23,MIA,QB,13,12,94,97,93,95,112,96,94,109,98,,Tua Tagovailoa,TagoTu00
2022,24,MIA,QB,13,13,143,141,138,135,101,123,107,110,125,AP MVP-9,Tua Tagovailoa,TagoTu00
2023,25,MIA,QB,17,17,127,129,122,124,124,114,96,114,121,"PB,AP CPoY-5",Tua Tagovailoa,TagoTu00
2024,26,MIA,QB,11,11,102,106,106,109,132,105,110,114,116,,Tua Tagovailoa,TagoTu00
2025,27,MIA,QB,14,14,97,96,88,88,111,108,70,97,95,,Tua Tagovailoa,TagoTu00
